timestamp,device_id,attack_type,is_attack,anomaly_flag,classification,ai_prediction,priority_label,action_taken,data_source,group_id,incident_id
1022983,32,-1,-1,1,ANOMALY,,MEDIUM,MONITORING,detection_results,-1,
1024995,32,-1,-1,1,ANOMALY,,MEDIUM,MONITORING,detection_results,-1,
1027025,32,-1,-1,1,ANOMALY,,MEDIUM,MONITORING,detection_results,-1,
1029054,32,-1,-1,1,ANOMALY,,MEDIUM,MONITORING,detection_results,-1,
1031075,32,-1,-1,1,ANOMALY,,MEDIUM,MONITORING,detection_results,-1,
1033085,32,-1,-1,1,ANOMALY,,MEDIUM,MONITORING,detection_results,-1,
1035105,32,-1,-1,1,ANOMALY,,MEDIUM,MONITORING,detection_results,-1,
1037128,32,-1,-1,1,ANOMALY,,MEDIUM,MONITORING,detection_results,-1,
1039157,32,-1,-1,1,ANOMALY,,MEDIUM,MONITORING,detection_results,-1,
1041176,32,-1,-1,1,ANOMALY,,MEDIUM,MONITORING,detection_results,-1,
1043182,32,-1,-1,1,ANOMALY,,MEDIUM,MONITORING,detection_results,-1,
1045212,32,-1,-1,1,ANOMALY,,MEDIUM,MONITORING,detection_results,-1,
1047215,32,-1,-1,1,ANOMALY,,MEDIUM,MONITORING,detection_results,-1,
1049228,32,-1,-1,1,ANOMALY,,MEDIUM,MONITORING,detection_results,-1,
1051238,32,-1,-1,1,ANOMALY,,MEDIUM,MONITORING,detection_results,-1,
1053260,32,-1,-1,1,ANOMALY,,MEDIUM,MONITORING,detection_results,-1,
1055272,32,-1,-1,1,ANOMALY,,MEDIUM,MONITORING,detection_results,-1,
1057301,32,-1,-1,1,ANOMALY,,MEDIUM,MONITORING,detection_results,-1,
1059325,32,-1,-1,1,ANOMALY,,MEDIUM,MONITORING,detection_results,-1,
1061352,32,-1,-1,1,ANOMALY,,MEDIUM,MONITORING,detection_results,-1,
1063356,32,-1,-1,1,ANOMALY,,MEDIUM,MONITORING,detection_results,-1,
1065361,32,-1,-1,1,ANOMALY,,MEDIUM,MONITORING,detection_results,-1,
1067386,32,-1,-1,1,ANOMALY,,MEDIUM,MONITORING,detection_results,-1,
1069396,32,-1,-1,1,ANOMALY,,MEDIUM,MONITORING,detection_results,-1,
1071406,32,-1,-1,1,ANOMALY,,MEDIUM,MONITORING,detection_results,-1,
1073432,32,-1,-1,1,ANOMALY,,MEDIUM,MONITORING,detection_results,-1,
1075438,32,-1,-1,1,ANOMALY,,MEDIUM,MONITORING,detection_results,-1,
1077460,32,-1,-1,1,ANOMALY,,MEDIUM,MONITORING,detection_results,-1,
1079494,32,-1,-1,1,ANOMALY,,MEDIUM,MONITORING,detection_results,-1,
1081527,32,-1,-1,1,ANOMALY,,MEDIUM,MONITORING,detection_results,-1,
1083539,32,-1,-1,1,ANOMALY,,MEDIUM,MONITORING,detection_results,-1,
1085571,32,-1,-1,1,ANOMALY,,MEDIUM,MONITORING,detection_results,-1,
1087581,32,-1,-1,1,ANOMALY,,MEDIUM,MONITORING,detection_results,-1,
1089588,32,-1,-1,1,ANOMALY,,MEDIUM,MONITORING,detection_results,-1,
1091622,32,-1,-1,1,ANOMALY,,MEDIUM,MONITORING,detection_results,-1,
1093631,32,-1,-1,1,ANOMALY,,MEDIUM,MONITORING,detection_results,-1,
1095643,32,-1,-1,1,ANOMALY,,MEDIUM,MONITORING,detection_results,-1,
1097654,32,-1,-1,1,ANOMALY,,MEDIUM,MONITORING,detection_results,-1,
1099678,32,-1,-1,1,ANOMALY,,MEDIUM,MONITORING,detection_results,-1,
1101707,32,-1,-1,1,ANOMALY,,MEDIUM,MONITORING,detection_results,-1,
1103736,32,-1,-1,1,ANOMALY,,MEDIUM,MONITORING,detection_results,-1,
1105767,32,-1,-1,1,ANOMALY,,MEDIUM,MONITORING,detection_results,-1,
1107804,32,-1,-1,1,ANOMALY,,MEDIUM,MONITORING,detection_results,-1,
1109823,32,-1,-1,1,ANOMALY,,MEDIUM,MONITORING,detection_results,-1,
1111850,32,-1,-1,1,ANOMALY,,MEDIUM,MONITORING,detection_results,-1,
1113859,32,-1,-1,1,ANOMALY,,MEDIUM,MONITORING,detection_results,-1,
1115890,32,-1,-1,1,ANOMALY,,MEDIUM,MONITORING,detection_results,-1,
1117897,32,-1,-1,1,ANOMALY,,MEDIUM,MONITORING,detection_results,-1,
1119905,32,-1,-1,1,ANOMALY,,MEDIUM,MONITORING,detection_results,-1,
1121923,32,-1,-1,1,ANOMALY,,MEDIUM,MONITORING,detection_results,-1,
1123951,32,-1,-1,1,ANOMALY,,MEDIUM,MONITORING,detection_results,-1,
1125980,32,-1,-1,1,ANOMALY,,MEDIUM,MONITORING,detection_results,-1,
1128007,32,-1,-1,1,ANOMALY,,MEDIUM,MONITORING,detection_results,-1,
1130023,32,-1,-1,1,ANOMALY,,MEDIUM,MONITORING,detection_results,-1,
1132038,32,-1,-1,1,ANOMALY,,MEDIUM,MONITORING,detection_results,-1,
1134060,32,-1,-1,1,ANOMALY,,MEDIUM,MONITORING,detection_results,-1,
1136079,32,-1,-1,1,ANOMALY,,MEDIUM,MONITORING,detection_results,-1,
1138088,32,-1,-1,1,ANOMALY,,MEDIUM,MONITORING,detection_results,-1,
1140089,32,-1,-1,1,ANOMALY,,MEDIUM,MONITORING,detection_results,-1,
1142103,32,-1,-1,1,ANOMALY,,MEDIUM,MONITORING,detection_results,-1,
1144137,32,-1,-1,1,ANOMALY,,MEDIUM,MONITORING,detection_results,-1,
1146153,32,-1,-1,1,ANOMALY,,MEDIUM,MONITORING,detection_results,-1,
1148180,32,-1,-1,1,ANOMALY,,MEDIUM,MONITORING,detection_results,-1,
1150185,32,-1,-1,1,ANOMALY,,MEDIUM,MONITORING,detection_results,-1,
1152220,32,-1,-1,1,ANOMALY,,MEDIUM,MONITORING,detection_results,-1,
1154236,32,-1,-1,1,ANOMALY,,MEDIUM,MONITORING,detection_results,-1,
1156237,32,-1,-1,1,ANOMALY,,MEDIUM,MONITORING,detection_results,-1,
