timestamp,device_id,attack_type,is_attack,anomaly_flag,classification,ai_prediction,priority_label,action_taken,data_source,group_id,incident_id,sensor_source,ward,alert_count,devices_affected,wards_affected,life_support_involved
1022983.0,32,-1,-1,1.0,ANOMALY,,MEDIUM,MONITORING,detection_results,-1,,,,,,,
1024995.0,32,-1,-1,1.0,ANOMALY,,MEDIUM,MONITORING,detection_results,-1,,,,,,,
1027025.0,32,-1,-1,1.0,ANOMALY,,MEDIUM,MONITORING,detection_results,-1,,,,,,,
1029054.0,32,-1,-1,1.0,ANOMALY,,MEDIUM,MONITORING,detection_results,-1,,,,,,,
1031075.0,32,-1,-1,1.0,ANOMALY,,MEDIUM,MONITORING,detection_results,-1,,,,,,,
1033085.0,32,-1,-1,1.0,ANOMALY,,MEDIUM,MONITORING,detection_results,-1,,,,,,,
1035105.0,32,-1,-1,1.0,ANOMALY,,MEDIUM,MONITORING,detection_results,-1,,,,,,,
1037128.0,32,-1,-1,1.0,ANOMALY,,MEDIUM,MONITORING,detection_results,-1,,,,,,,
1039157.0,32,-1,-1,1.0,ANOMALY,,MEDIUM,MONITORING,detection_results,-1,,,,,,,
1041176.0,32,-1,-1,1.0,ANOMALY,,MEDIUM,MONITORING,detection_results,-1,,,,,,,
1043182.0,32,-1,-1,1.0,ANOMALY,,MEDIUM,MONITORING,detection_results,-1,,,,,,,
1045212.0,32,-1,-1,1.0,ANOMALY,,MEDIUM,MONITORING,detection_results,-1,,,,,,,
1047215.0,32,-1,-1,1.0,ANOMALY,,MEDIUM,MONITORING,detection_results,-1,,,,,,,
1049228.0,32,-1,-1,1.0,ANOMALY,,MEDIUM,MONITORING,detection_results,-1,,,,,,,
1051238.0,32,-1,-1,1.0,ANOMALY,,MEDIUM,MONITORING,detection_results,-1,,,,,,,
1053260.0,32,-1,-1,1.0,ANOMALY,,MEDIUM,MONITORING,detection_results,-1,,,,,,,
1055272.0,32,-1,-1,1.0,ANOMALY,,MEDIUM,MONITORING,detection_results,-1,,,,,,,
1057301.0,32,-1,-1,1.0,ANOMALY,,MEDIUM,MONITORING,detection_results,-1,,,,,,,
1059325.0,32,-1,-1,1.0,ANOMALY,,MEDIUM,MONITORING,detection_results,-1,,,,,,,
1061352.0,32,-1,-1,1.0,ANOMALY,,MEDIUM,MONITORING,detection_results,-1,,,,,,,
1063356.0,32,-1,-1,1.0,ANOMALY,,MEDIUM,MONITORING,detection_results,-1,,,,,,,
1065361.0,32,-1,-1,1.0,ANOMALY,,MEDIUM,MONITORING,detection_results,-1,,,,,,,
1067386.0,32,-1,-1,1.0,ANOMALY,,MEDIUM,MONITORING,detection_results,-1,,,,,,,
1069396.0,32,-1,-1,1.0,ANOMALY,,MEDIUM,MONITORING,detection_results,-1,,,,,,,
1071406.0,32,-1,-1,1.0,ANOMALY,,MEDIUM,MONITORING,detection_results,-1,,,,,,,
1073432.0,32,-1,-1,1.0,ANOMALY,,MEDIUM,MONITORING,detection_results,-1,,,,,,,
1075438.0,32,-1,-1,1.0,ANOMALY,,MEDIUM,MONITORING,detection_results,-1,,,,,,,
1077460.0,32,-1,-1,1.0,ANOMALY,,MEDIUM,MONITORING,detection_results,-1,,,,,,,
1079494.0,32,-1,-1,1.0,ANOMALY,,MEDIUM,MONITORING,detection_results,-1,,,,,,,
1081527.0,32,-1,-1,1.0,ANOMALY,,MEDIUM,MONITORING,detection_results,-1,,,,,,,
1083539.0,32,-1,-1,1.0,ANOMALY,,MEDIUM,MONITORING,detection_results,-1,,,,,,,
1085571.0,32,-1,-1,1.0,ANOMALY,,MEDIUM,MONITORING,detection_results,-1,,,,,,,
1087581.0,32,-1,-1,1.0,ANOMALY,,MEDIUM,MONITORING,detection_results,-1,,,,,,,
1089588.0,32,-1,-1,1.0,ANOMALY,,MEDIUM,MONITORING,detection_results,-1,,,,,,,
1091622.0,32,-1,-1,1.0,ANOMALY,,MEDIUM,MONITORING,detection_results,-1,,,,,,,
1093631.0,32,-1,-1,1.0,ANOMALY,,MEDIUM,MONITORING,detection_results,-1,,,,,,,
1095643.0,32,-1,-1,1.0,ANOMALY,,MEDIUM,MONITORING,detection_results,-1,,,,,,,
1097654.0,32,-1,-1,1.0,ANOMALY,,MEDIUM,MONITORING,detection_results,-1,,,,,,,
1099678.0,32,-1,-1,1.0,ANOMALY,,MEDIUM,MONITORING,detection_results,-1,,,,,,,
1101707.0,32,-1,-1,1.0,ANOMALY,,MEDIUM,MONITORING,detection_results,-1,,,,,,,
1103736.0,32,-1,-1,1.0,ANOMALY,,MEDIUM,MONITORING,detection_results,-1,,,,,,,
1105767.0,32,-1,-1,1.0,ANOMALY,,MEDIUM,MONITORING,detection_results,-1,,,,,,,
1107804.0,32,-1,-1,1.0,ANOMALY,,MEDIUM,MONITORING,detection_results,-1,,,,,,,
