created_at,timestamp,device_id,device_type,ward,attack_type,is_attack,priority,priority_confidence,priority_reason,predicted_attack,attack_label,attack_confidence,correlation_verdict,correlation_score,related_alert_count,confirmed_real_attack,confirmed_critical,decision_action,device_state,src_ips,life_support_involved,sensor_log_id,source,mongo_id,group_category,group_id
2026-05-02T15:04:24.809441+00:00,1777734260884,MOTION_ESP32_001,ESP32_Fall_Detection_Motion,Ward_01,sensor_spoofing,True,MEDIUM,0.997382486280124,Predicted MEDIUM from trained Random Forest priority model.,False,BENIGN,0.45,monitor,2.25,24,True,False,quarantine,Quarantined,10.98.160.21,False,69f61278e26b3e3522af1936,simulated_live_pipeline,69f61278e26b3e3522af1938,attack,0
2026-05-02T08:57:41.352159+00:00,1777712257503,TEMP_ESP32_001,ESP32_Temperature_Monitor,General_Ward,sensor_spoofing,True,MEDIUM,0.9820527483576243,Predicted MEDIUM from trained Random Forest priority model.,True,ATTACK,0.7,suspicious,3.25,1,True,False,monitor,Normal,10.18.166.210,False,69f5bc85b1f1d39229d2ab09,simulated_live_pipeline,69f5bc85b1f1d39229d2ab0b,attack,1
2026-05-02T08:58:04.741695+00:00,1777712283851,TEMP_ESP32_001,ESP32_Temperature_Monitor,General_Ward,flooding,True,LOW,0.8638246507480415,Predicted LOW from trained Random Forest priority model.,True,ATTACK,0.67,confirmed_attack,6.05,3,True,False,quarantine,Quarantined,10.18.166.210,False,69f5bc9cb1f1d39229d2ab15,simulated_live_pipeline,69f5bc9cb1f1d39229d2ab17,attack,1
2026-05-02T15:02:49.342078+00:00,1777734167851,TEMP_ESP32_001,ESP32_Temperature_Monitor,General_Ward,sensor_spoofing,True,MEDIUM,0.9820527483576243,Predicted MEDIUM from trained Random Forest priority model.,False,BENIGN,0.53,monitor,2.25,16,True,False,quarantine,Quarantined,10.18.166.210,False,69f61218e26b3e3522af18f1,simulated_live_pipeline,69f61219e26b3e3522af18f3,attack,2
2026-05-02T14:08:24.989968+00:00,1777730903923,890cc34f,ESP32_Pulse_Oximeter,CRITICAL_CARE,normal,False,LOW,0.9950596145413544,Predicted LOW from trained Random Forest priority model.,True,ATTACK,0.42,monitor,2.75,1,True,True,quarantine,Quarantined,10.86.xxx.xxx,True,69f605583f61b8e053c6e52c,simulated_live_pipeline,69f605583f61b8e053c6e52e,critical,3
2026-05-02T15:47:40.182691+00:00,1777736857423,890cc34f,ESP32_Pulse_Oximeter,CRITICAL_CARE,normal,False,LOW,0.9950596145413544,Predicted LOW from trained Random Forest priority model.,True,ATTACK,0.43,monitor,2.75,2,True,True,quarantine,Quarantined,10.86.xxx.xxx,True,69f61c9afaaf024a1b7eb8e6,simulated_live_pipeline,69f61c9cfaaf024a1b7eb8e9,critical,4
2026-05-02T16:32:12.701679+00:00,1777739531049,890cc34f,ESP32_Pulse_Oximeter,CRITICAL_CARE,normal,False,LOW,0.9950596145413544,Predicted LOW from trained Random Forest priority model.,True,ATTACK,0.43,monitor,2.75,2,True,True,quarantine,Quarantined,10.86.xxx.xxx,True,69f6270bb8fc9e75fcfa1b12,simulated_live_pipeline,69f6270cb8fc9e75fcfa1b15,critical,5
2026-05-02T16:36:22.955295+00:00,1777739780251,890cc34f,ESP32_Pulse_Oximeter,CRITICAL_CARE,normal,False,LOW,0.9950596145413544,Predicted LOW from trained Random Forest priority model.,True,ATTACK,0.49,monitor,2.75,3,True,True,quarantine,Quarantined,10.86.xxx.xxx,True,69f62805b8fc9e75fcfa1b9e,simulated_live_pipeline,69f62806b8fc9e75fcfa1ba1,critical,6
2026-05-02T17:11:11.435795+00:00,1777741869679,890cc34f,ESP32_Pulse_Oximeter,CRITICAL_CARE,normal,False,LOW,0.9950596145413544,Predicted LOW from trained Random Forest priority model.,True,ATTACK,0.49,monitor,2.75,2,True,True,quarantine,Quarantined,10.86.xxx.xxx,True,69f6302db8fc9e75fcfa1bb2,simulated_live_pipeline,69f6302fb8fc9e75fcfa1bb5,critical,7
2026-05-02T17:11:35.850191+00:00,1777741894270,890cc34f,ESP32_Pulse_Oximeter,CRITICAL_CARE,normal,False,LOW,0.9950596145413544,Predicted LOW from trained Random Forest priority model.,True,ATTACK,0.42,monitor,2.75,3,True,True,quarantine,Quarantined,10.86.xxx.xxx,True,69f63046b8fc9e75fcfa1bc1,simulated_live_pipeline,69f63047b8fc9e75fcfa1bc4,critical,7
2026-05-03T13:22:02.914539+00:00,1777814519905,890cc34f,ESP32_Pulse_Oximeter,CRITICAL_CARE,normal,False,LOW,0.9950596145413544,Predicted LOW from trained Random Forest priority model.,True,ATTACK,0.43,monitor,2.75,4,True,True,quarantine,Quarantined,10.86.xxx.xxx,True,69f74bf9a1550911f4045770,simulated_live_pipeline,69f74bfaa1550911f4045773,critical,8
2026-05-03T13:22:56.240206+00:00,1777814574527,890cc34f,ESP32_Pulse_Oximeter,CRITICAL_CARE,normal,False,LOW,0.9950596145413544,Predicted LOW from trained Random Forest priority model.,True,ATTACK,0.43,monitor,2.75,5,True,True,quarantine,Quarantined,10.86.xxx.xxx,True,69f74c2fa1550911f404579f,simulated_live_pipeline,69f74c30a1550911f40457a2,critical,8
2026-05-03T13:24:14.150838+00:00,1777814652390,890cc34f,ESP32_Pulse_Oximeter,CRITICAL_CARE,normal,False,LOW,0.9950596145413544,Predicted LOW from trained Random Forest priority model.,True,ATTACK,0.51,monitor,2.75,7,True,True,quarantine,Quarantined,10.86.xxx.xxx,True,69f74c7ca1550911f40457d7,simulated_live_pipeline,69f74c7ea1550911f40457da,critical,9
2026-05-03T13:40:35.677451+00:00,1777815631996,890cc34f,ESP32_Pulse_Oximeter,CRITICAL_CARE,normal,False,LOW,0.9950596145413544,Predicted LOW from trained Random Forest priority model.,True,ATTACK,0.42,monitor,2.75,3,True,True,quarantine,Quarantined,10.86.xxx.xxx,True,69f75052a1550911f40458c0,simulated_live_pipeline,69f75053a1550911f40458c3,critical,10
2026-05-03T14:01:14.464132+00:00,1777816872899,890cc34f,ESP32_Pulse_Oximeter,CRITICAL_CARE,normal,False,LOW,0.9950596145413544,Predicted LOW from trained Random Forest priority model.,True,ATTACK,0.43,monitor,2.75,2,True,True,quarantine,Quarantined,10.86.xxx.xxx,True,69f75529a1550911f4045950,simulated_live_pipeline,69f7552aa1550911f4045953,critical,11
2026-05-03T14:34:56.105206+00:00,1777818894551,890cc34f,ESP32_Pulse_Oximeter,CRITICAL_CARE,normal,False,LOW,0.9950596145413544,Predicted LOW from trained Random Forest priority model.,True,ATTACK,0.43,monitor,2.75,2,True,True,quarantine,Quarantined,10.86.xxx.xxx,True,69f75d0ea1550911f40459b8,simulated_live_pipeline,69f75d10a1550911f40459bb,critical,12
2026-05-03T15:33:08.025274+00:00,1777822385302,890cc34f,ESP32_Pulse_Oximeter,CRITICAL_CARE,normal,False,LOW,0.9950596145413544,Predicted LOW from trained Random Forest priority model.,True,ATTACK,0.43,monitor,2.75,2,True,True,quarantine,Quarantined,10.86.xxx.xxx,True,69f76ab2a1550911f4045a89,simulated_live_pipeline,69f76ab4a1550911f4045a8c,critical,13
