created_at,timestamp,device_id,device_type,ward,attack_type,is_attack,priority,priority_confidence,priority_reason,predicted_attack,attack_label,attack_confidence,correlation_verdict,correlation_score,related_alert_count,confirmed_real_attack,confirmed_critical,decision_action,device_state,src_ips,life_support_involved,sensor_log_id,source,mongo_id
2026-05-02T08:57:41.352159+00:00,1777712257503,TEMP_ESP32_001,ESP32_Temperature_Monitor,General_Ward,sensor_spoofing,True,MEDIUM,0.9820527483576243,Predicted MEDIUM from trained Random Forest priority model.,True,ATTACK,0.7,suspicious,3.25,1,True,False,monitor,Normal,10.18.166.210,False,69f5bc85b1f1d39229d2ab09,simulated_live_pipeline,69f5bc85b1f1d39229d2ab0b
2026-05-02T08:57:47.461961+00:00,1777712266039,MOTION_ESP32_001,ESP32_Fall_Detection_Motion,Ward_01,ddos,True,HIGH,0.9740493252726847,Predicted HIGH from trained Random Forest priority model.,True,ATTACK,0.54,suspicious,4.25,1,True,False,quarantine,Quarantined,10.98.160.21,False,69f5bc8bb1f1d39229d2ab0c,simulated_live_pipeline,69f5bc8bb1f1d39229d2ab0e
2026-05-02T08:57:53.242077+00:00,1777712272331,TEMP_ESP32_001,ESP32_Temperature_Monitor,General_Ward,data_tampering,True,HIGH,0.9641226008943343,Predicted HIGH from trained Random Forest priority model.,True,ATTACK,0.59,confirmed_attack,6.25,2,True,False,monitor,Normal,10.18.166.210,False,69f5bc90b1f1d39229d2ab0f,simulated_live_pipeline,69f5bc91b1f1d39229d2ab11
2026-05-02T08:57:59.138866+00:00,1777712278197,ECG_ESP32_001,ESP32_ECG_Monitor,Ward_02,sensor_spoofing,True,HIGH,0.9833411044639303,Predicted HIGH from trained Random Forest priority model.,True,ATTACK,0.7,suspicious,4.25,1,True,True,quarantine,Quarantined,10.38.16.20,False,69f5bc96b1f1d39229d2ab12,simulated_live_pipeline,69f5bc97b1f1d39229d2ab14
2026-05-02T08:58:04.741695+00:00,1777712283851,TEMP_ESP32_001,ESP32_Temperature_Monitor,General_Ward,flooding,True,LOW,0.8638246507480415,Predicted LOW from trained Random Forest priority model.,True,ATTACK,0.67,confirmed_attack,6.05,3,True,False,quarantine,Quarantined,10.18.166.210,False,69f5bc9cb1f1d39229d2ab15,simulated_live_pipeline,69f5bc9cb1f1d39229d2ab17
2026-05-02T14:08:13.599370+00:00,1777730888851,TEMP_ESP32_001,ESP32_Temperature_Monitor,General_Ward,normal,False,LOW,0.9933152347492813,Predicted LOW from trained Random Forest priority model.,False,BENIGN,0.53,monitor,0.25,1,False,False,monitor,Normal,10.18.166.210,False,69f6054d3f61b8e053c6e526,simulated_live_pipeline,69f6054d3f61b8e053c6e528
2026-05-02T14:08:19.238994+00:00,1777730898295,MOTION_ESP32_001,ESP32_Fall_Detection_Motion,Ward_01,normal,False,LOW,1.0,Predicted LOW from trained Random Forest priority model.,False,BENIGN,0.54,monitor,0.25,1,False,False,monitor,Normal,10.98.160.21,False,69f605523f61b8e053c6e529,simulated_live_pipeline,69f605533f61b8e053c6e52b
2026-05-02T14:08:24.989968+00:00,1777730903923,890cc34f,ESP32_Pulse_Oximeter,CRITICAL_CARE,normal,False,LOW,0.9950596145413545,Predicted LOW from trained Random Forest priority model.,True,ATTACK,0.42,monitor,2.75,1,True,True,quarantine,Quarantined,10.86.xxx.xxx,True,69f605583f61b8e053c6e52c,simulated_live_pipeline,69f605583f61b8e053c6e52e
2026-05-02T14:08:30.678506+00:00,1777730909704,ECG_ESP32_001,ESP32_ECG_Monitor,Ward_02,normal,False,LOW,0.9847288974183998,Predicted LOW from trained Random Forest priority model.,False,BENIGN,0.86,monitor,0.25,1,False,False,monitor,Normal,10.38.16.20,False,69f6055e3f61b8e053c6e52f,simulated_live_pipeline,69f6055e3f61b8e053c6e531
2026-05-02T14:08:36.244920+00:00,1777730915345,TEMP_ESP32_001,ESP32_Temperature_Monitor,General_Ward,normal,False,LOW,0.9933152347492813,Predicted LOW from trained Random Forest priority model.,False,BENIGN,0.53,monitor,0.25,2,False,False,monitor,Normal,10.18.166.210,False,69f605633f61b8e053c6e532,simulated_live_pipeline,69f605643f61b8e053c6e534
2026-05-02T14:08:42.035557+00:00,1777730920903,MOTION_ESP32_001,ESP32_Fall_Detection_Motion,Ward_01,normal,False,LOW,1.0,Predicted LOW from trained Random Forest priority model.,False,BENIGN,0.49,monitor,0.25,2,False,False,monitor,Normal,10.98.160.21,False,69f605693f61b8e053c6e535,simulated_live_pipeline,69f6056a3f61b8e053c6e537
2026-05-02T14:08:47.743068+00:00,1777730926803,ECG_ESP32_001,ESP32_ECG_Monitor,Ward_02,normal,False,LOW,0.9847288974183998,Predicted LOW from trained Random Forest priority model.,False,UNKNOWN_OR_NO_SIGNAL,0.55,monitor,0.25,2,False,False,monitor,Normal,10.38.16.20,False,69f6056f3f61b8e053c6e538,simulated_live_pipeline,69f6056f3f61b8e053c6e53a
2026-05-02T14:08:53.395516+00:00,1777730932400,TEMP_ESP32_001,ESP32_Temperature_Monitor,General_Ward,normal,False,LOW,0.9933152347492813,Predicted LOW from trained Random Forest priority model.,False,BENIGN,0.53,monitor,0.25,3,False,False,monitor,Normal,10.18.166.210,False,69f605753f61b8e053c6e53b,simulated_live_pipeline,69f605753f61b8e053c6e53d
2026-05-02T14:08:59.118583+00:00,1777730938113,MOTION_ESP32_001,ESP32_Fall_Detection_Motion,Ward_01,normal,False,LOW,1.0,Predicted LOW from trained Random Forest priority model.,False,BENIGN,0.56,monitor,0.25,3,False,False,monitor,Normal,10.98.160.21,False,69f6057a3f61b8e053c6e53e,simulated_live_pipeline,69f6057b3f61b8e053c6e540
